SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
732GS2030, GS, 01-Feb-2026,104.12,104.12,104.12,103.61,103.7,103.7,103.72,2100,2.18,3, 2100, 100.00
733GS2026, GS, 01-Feb-2026,102.47,102.26,102.26,102.26,102.26,102.26,102.26,1100,1.12,3, 1100, 100.00
734GS2064, GS, 01-Feb-2026,100.83,100.65,100.65,100.5,100.5,100.5,100.63,3613,3.64,6, 3613, 100.00
736GS2052, GS, 01-Feb-2026,103.9,103.9,103.9,103.9,103.9,103.9,103.9,274,0.28,1, 274, 100.00
737GS2028, GS, 01-Feb-2026,104.35,104.1,104.35,104.1,104.35,104.35,104.1,5100,5.31,3, 5100, 100.00
738GS2027, GS, 01-Feb-2026,102.8,102.55,102.65,102.25,102.48,102.49,102.5,78876,80.85,38, 75876, 96.20
73GS2053, GS, 01-Feb-2026,99.41,99.5,99.96,99.0,99.8,99.8,99.38,69926,69.49,24, 52400, 74.94
741GS2036, GS, 01-Feb-2026,104.6,105.2,105.2,103.25,103.7,103.75,103.63,48851,50.62,16, 48850, 100.00
743GS2076, GS, 01-Feb-2026,101.0,101.99,101.99,101.25,101.66,101.66,101.65,5552,5.64,17, 5551, 99.98
746GS2073, GS, 01-Feb-2026,102.11,102.0,103.0,102.0,102.0,102.02,102.4,40964,41.95,59, 40714, 99.39
74GS2062, GS, 01-Feb-2026,102.0,102.5,102.5,102.5,102.5,102.5,102.5,58,0.06,5, 58, 100.00
754GS2036, GS, 01-Feb-2026,106.17,106.05,106.24,106.05,106.12,106.13,106.13,243483,258.42,113, 219181, 90.02
75GS2034, GS, 01-Feb-2026,108.5,105.88,105.88,105.88,105.88,105.88,105.88,439,0.46,1, 439, 100.00
762GS2039, GS, 01-Feb-2026,105.05,107.4,107.4,105.0,107.4,107.4,106.67,1280,1.37,4, 890, 69.53
772GS2055, GS, 01-Feb-2026,109.9,104.42,105.85,104.41,105.0,105.0,105.1,2000,2.1,6, 1400, 70.00
