ISIN,TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
INE615H01020,2026-02-04,2026-02-04,CM,NSE,STK,15414,TITAGARH,EQ,,,,,TITAGARH RAIL SYSTEMS LTD,798.8,799.8,788.0,794.25,795.0,798.8,,794.25,,,465131,369105108.8,15477,F1,1,,,,,
INE280A01028,2026-02-04,2026-02-04,CM,NSE,STK,3506,TITAN,EQ,,,,,TITAN COMPANY LIMITED,4087.0,4160.0,4066.2,4144.0,4135.1,4068.6,,4142.25,,,917279,3789847059.5,67222,F1,1,,,,,
INE932C01012,2026-02-04,2026-02-04,CM,NSE,STK,3837,TOKYOPLAST,EQ,,,,,TOKYO PLAST INTL LTD,100.0,104.79,100.0,101.97,102.5,100.97,,101.8,,,2796,285580.61,75,F1,1,,,,,
INE0RWQ01014,2026-02-04,2026-02-04,CM,NSE,STK,25262,TOLINS,EQ,,,,,TOLINS TYRES LIMITED,121.0,130.95,120.68,128.19,127.0,121.74,,128.3,,,125071,15828004.14,3067,F1,1,,,,,
INE685A01028,2026-02-04,2026-02-04,CM,NSE,STK,3518,TORNTPHARM,EQ,,,,,TORRENT PHARMACEUTICALS L,4066.0,4068.1,3986.7,4023.5,4013.1,4045.6,,4023.55,,,319619,1286130387.2,35026,F1,1,,,,,
INE813H01021,2026-02-04,2026-02-04,CM,NSE,STK,13786,TORNTPOWER,EQ,,,,,TORRENT POWER LTD,1370.3,1411.0,1362.6,1407.5,1405.0,1370.3,,1407.5,,,705624,988667972.0,29409,F1,1,,,,,
INE336X01012,2026-02-04,2026-02-04,CM,NSE,STK,22423,TOTAL,EQ,,,,,TOTAL TRANSPORT SYS LTD,62.16,64.99,60.99,63.82,63.91,64.77,,63.82,,,8296,521178.61,196,F1,1,,,,,
INE486Y01013,2026-02-04,2026-02-04,CM,NSE,STK,16908,TOUCHWOOD,EQ,,,,,TOUCHWOOD ENTERTAIN LTD.,99.94,99.94,90.55,92.55,91.25,95.53,,92.55,,,11637,1087542.16,216,F1,1,,,,,
INE305A01023,2026-02-04,2026-02-04,CM,NSE,STK,3466,TFCILTD,EQ,,,,,TOURISM FINANCE CORP. OF,65.04,68.0,64.39,66.7,66.65,65.04,,66.7,,,4944298,330501689.25,9050,F1,1,,,,,
INE413G01022,2026-02-04,2026-02-04,CM,NSE,STK,9219,TPLPLASTEH,EQ,,,,,TPL PLASTECH LIMITED,62.14,63.0,61.46,62.63,62.61,62.14,,62.63,,,79491,4941829.8,852,F1,1,,,,,
